NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;lat;lon;
23704;704;L_kt71_Kesälahti;Tie 71 Kesälahti;62.051730781;29.6085569276;
23705;705;L_kt73_Lieksa;Tie 73 Lieksa;63.3045800568;30.0479543327;
23928;928;L_vt4_Joutsa;Tie 4 Joutsa;61.7988310141;26.095200941;
23935;935;L_vt4_Toivakka2;Tie 4 Toivakka;62.1062837007;25.9790045766;
23929;929;L_vt4_Hupeli;Tie 4 Hupeli;62.234163989;25.8924637484;
23923;923;L_vt4_Jyväskylä;Tie 4 Jyväskylä;62.2430480381;25.7857928325;
23933;933;L_vt4_Palokka;Tie 4 Palokka;62.278362815;25.7283504128;
23901;901;L_vt4_Tikkakoski;Tie 4 Tikkakoski;62.3695273028;25.7048529326;
23902;902;L_vt4_Äänekoski;Tie 4 Äänekoski;62.6571645312;25.7271679136;
23932;932;L_vt4_Hännilänsalmi;Tie 4 Hännilänsalmi;63.042481798;25.8170272268;
23925;925;L_vt4_Viitasaari;Tie 4 Viitasaari;63.2239242383;25.6693393126;
23930;930;L_vt9_Jämsä;Tie 9 Jämsä;61.848212222;25.1595077026;
23927;927;L_vt9_Korpilahti;Tie 9 Korpilahti;61.9768225134;25.3991456669;
23922;922;L_vt9_Muurame;Tie 9 Muurame;62.0832621908;25.6126168556;
23903;903;L_vt9_Lievestuore;Tie 9 Laukaa, Lievestuore;62.2486065236;26.1581541314;
23904;904;L_vt13_Saarijärvi;Tie 13 Saarijärvi;62.7952372898;25.0642085377;
23931;931;L_vt18_Petäjävesi;Tie 18 Petäjävesi;62.2715942736;25.3946739047;
23905;905;L_vt23_Keuruu1;Tie 23 Keuruu;62.2451798902;24.5629787954;
23921;921;L_vt24_Kuhmoinen;Tie 24 Kuhmoinen;61.4871548745;25.1444116729;
23934;934;L_st637_Tiituspohja;Tie 637 Tiituspohja;62.3009741536;25.8217392212;
24021;1021;L_vt3_Koskue;Tie 3 Koskue;62.3923708394;22.7927415233;
24047;1047;L_vt3_Kurikka_Tuiskula;Tie 3 Kurikka;62.6140398028;22.4338923492;
24058;1058;L_vt16_Ylistaro;Tie 16 Ylistaro;62.9601468751;22.5474104544;
24027;1027;L_vt16_Alajärvi;Tie 16 Alajärvi;63.0177723865;23.6784162289;
24032;1032;L_vt18_Nurmo_Munakka;Tie 18 Nurmo, Munakka;62.8507162226;22.7816950936;
24061;1061;L_vt18_Seinäjöki_Pajuneva;Tie 18 Seinäjoki, Pajuneva;62.8105687623;22.8517728769;
24037;1037;L_vt18_Nurmo_Uittoo;Tie 18 Nurmo;62.7727582585;23.0095746729;
24056;1056;L_vt18_Alavus_Kuivaskylä;Tie 18 Alavus;62.5661632529;23.4687082211;
24033;1033;L_vt18_Alavus_Tuuri;Tie 18 Alavus;62.5938943732;23.6902770177;
24062;1062;L_vt18_Töysä_Jokikylä;Tie 18 Töysä, Jokikylä;62.6134493495;23.7634590435;
24005;1005;L_vt19_Luopajärvi;Tie 19 Luopajärvi;62.5860549206;22.7501840005;
24034;1034;L_vt19_Seinäjoki;Tie 19 Seinäjoki;62.7977738377;22.8437574846;
24059;1059;L_vt19_Nurmo;Tie 19 Nurmo;62.8268791578;22.925677209;
24007;1007;L_vt19_Lapua;Tie 19 Lapua;62.9394586724;23.0390840335;
24049;1049;L_vt19_Lapua_Voitilanjärvi;Tie 19 Lapua;62.9932946602;23.0570028579;
24031;1031;L_vt19_Alahärmä_Voltti;Tie 19 Alahärmä, Voltti;63.2891969454;22.7994808012;
24054;1054;L_kt44_Kauhajoki;Tie 44 Kauhajoki;62.4078166802;22.2084972841;
24035;1035;L_kt63_Kauhava;Tie 63 Kauhava;63.1241420255;23.0674747541;
24024;1024;L_kt66_Alavus_Sampsalampi;Tie 66 Alavus;62.4360499358;23.623819213;
24060;1060;L_kt66_Alavus_Pohjoinen;Tie 66 Alavus, pohjoinen;62.6350975692;23.5759847339;
24044;1044;L_kt66_Kuortane;Tie 66 Kuortane;62.8051499428;23.5168624294;
24046;1046;L_kt67_Teuva;Tie 67 Teuva;62.4733758598;21.6977735616;
24042;1042;L_kt67_Kauhajoki_P;Tie 67 Kauhajoki, pohjoine;62.4834813292;22.2716114895;
24006;1006;L_kt67_Ilmajoki;Tie 67 Ilmajoki;62.7416823442;22.6337152319;
24039;1039;L_kt68_Ähtäri;Tie 68 Ähtäri;62.537619485;24.0424319798;
24055;1055;L_kt68_Lehtimäki;Tie 68 Lehtimäki;62.7819998975;23.9383391259;
24028;1028;L_kt68_Evijärvi;Tie 68 Evijärvi;63.3324551515;23.5155083466;
24043;1043;L_yt17367_Kurikka_Panttil;Tie 17367 Kurikka, Panttil;62.6673661279;22.3753459273;
24001;1001;L_vt3_Huissi;Tie 3 Huissi;62.7904838888;22.2791414841;
24051;1051;L_vt3_Laihia_Perälä;Tie 3 Laihia, Perälä;62.9295490916;22.0489119292;
24002;1002;L_vt3_Hälsingby;Tie 3 Hälsingby;63.020135173;21.8072294235;
24030;1030;L_vt3_Vaasa_Mt;Tie 3 Vaasa;63.0618676869;21.702891604;
24050;1050;L_vt8_Kristiinankaupunki;Tie 8 Kristiinankaupunki;62.0417106058;21.5343534214;
24022;1022;L_vt8_Närpiö;Tie 8 Närpiö;62.4423519563;21.4235413547;
24045;1045;L_vt8_Mustasaari_Riimal;Tie 8 Mustasaari, Riimala;62.9521379559;21.7625741663;
24057;1057;L_vt8_Vaasa_Yhdystie;Tie 8 Vaasa, Yhdystie;63.0870070554;21.671030288;
24067;1067;L_vt8_Vaasa_Böle;Tie 8 Vaasa, Böle;63.1074830486;21.6539991878;
24066;1066;L_vt8_Mustasaari_Lintuvuori;Tie 8 Mustassaari, Lintuvuori;63.130045485;21.7197608152;
24003;1003;L_vt8_Koivulahti;Tie 8 Mustasaari, Koivulah;63.1429228228;21.7824109193;
24063;1063;L_vt8_Kaitsor_Vöyri-Maksamaa;Tie 8 Kaitsor, Vöyri-Maksamaa;63.2563241381;22.2820914829;
24026;1026;L_vt8_Kovjoki;Tie 8 Kovjoki;63.5493862625;22.7020697053;
24053;1053;L_vt18_Laihia_Vedenoja;Tie 18 Laihia, Vedenoja;62.9655183485;22.0822604279;
24004;1004;L_vt16_Isokyrö;Tie 16 Isokyrö;62.9803007138;22.3439321317;
24036;1036;L_kt68_Pietarsaari;Tie 68 Pietarsaari;63.6413441852;22.8125207354;
24029;1029;L_st724_Raippaluoto;Tie 724 Raippaluoto;63.2041939584;21.4868605787;
24023;1023;L_vt8_Kokkola;Tie 8 Kokkola;63.8591946406;23.2402742666;
24048;1048;L_vt13_Kokkola_Ribacken;Tie 13 Kokkola;63.7755953011;23.206248648;
24041;1041;L_vt13_Kaustinen_Viiperi;Tie 13 Kaustinen;63.6021633286;23.4668837652;
24122;1122;L_vt13_Veteli;Tie 13 Veteli;63.4280395647;23.9175295699;
24064;1064;L_vt13_Perho_Möttönen;Tie 13 Perho, Möttönen;63.1673000165;24.5223802235;
24065;1065;L_vt18_Ähtäri_Inha;Tie 18 Ähtäri, Inha;62.5554632195;24.1222237061;
24040;1040;L_vt28_Kannus;Tie 28 Kannus;63.8994392526;23.8606247711;
24038;1038;L_kt63_Kaustinen;Tie 63 Kaustinen;63.5593341411;23.7514299137;
24101;1101;L_vt4_Pyhäjärvi;Tie 4 Pyhäjärvi;63.6219593542;25.7884932295;
24121;1121;L_vt4_Kärsämäki;Tie 4 Kärsämäki;63.946915271;25.8033121623;
24221;1221;L_vt4_Rantsila;Tie 4 Rantsila;64.3848740722;25.8533108736;
24236;1236;L_vt4_Ala-Temmes;Tie 4 Alatemmes;64.7743145029;25.54639975;
24243;1243;L_vt4_Luhasto;Tie 4 Luhasto;64.8428099511;25.5037997191;
24226;1226;L_vt4_Kempele;Tie 4 Kempele;64.9137531469;25.5387281535;
24201;1201;L_vt4_Oulu_Mäntylä;Tie 4 Oulu, Mäntylä;64.9793587638;25.5169209377;
24251;1251;L_vt4_Oulu_Lintula;Tie 4 Oulu, Lintula;64.9682862969;25.5045686438;
24250;1250;L_vt4_Välkkylä;Tie 4 Välkkylä;65.010842918;25.50978468;
24237;1237;L_vt4_Oulu;Tie 4 Oulu, Intiö;65.0211328135;25.5102721385;
24244;1244;L_vt4_Laanila;Tie 4 Oulu, Laanila;65.0317029978;25.4984063324;
24238;1238;L_vt4_Isko;Tie 4 Linnanmaa;65.0463556873;25.4662630534;
24246;1246;L_vt4_Kuivasjärvi;Tie 4 Oulu, Kuivasjärvi;65.0743321946;25.438682607;
24231;1231;L_vt4_Kalimenoja;Tie 4 Kello;65.1229832167;25.4299454966;
24202;1202;L_vt4_Ii;Tie 4 Ii;65.3018357857;25.3728164455;
24229;1229;L_vt4_Kuivaniemi;Tie 4 Ii, Kuivaniemi;65.5457726921;25.2382494176;
24234;1234;L_vt5_Toranki;Tie 5 Kuusamo, Toranki;65.947487074;29.1646198042;
24203;1203;L_vt5_Kuusamo;Tie 5 Kuusamo;66.0604878333;29.1451031539;
24052;1052;L_vt8_Himanka;Tie 8 Himanka;64.0494603948;23.6416258291;
24124;1124;L_vt8_Rahvo;Tie 8 Kalajoki, Rahvo;64.2804909806;23.9522197148;
24204;1204;L_vt8_Raahe;Tie 8 Raahe;64.6863283194;24.5616236971;
24235;1235;L_vt8_Lapinkangas;Tie 8 Liminka;64.7814026548;25.3488398466;
24254;1254;L_vt20_Rusko2;Tie 20 Oulu, Rusko;65.054766334;25.6077342734;
24223;1223;L_vt20_Kiiminki;Tie 20 Kiiminki;65.0652623851;25.6375267761;
24230;1230;L_vt20_Rankkila;Tie 20 Pudasjärvi, Rankkil;65.2689329141;26.7306880502;
24232;1232;L_vt20_Kettumäki;Tie 20 Kettumäki;65.4165562388;27.4224831723;
24224;1224;L_vt20_Pintamo;Tie 20 Pudasjärvi, Pintamo;65.4432505069;27.6001085261;
24241;1241;L_vt22_Maikkula;Tie 22 Maikkula;64.9891550183;25.5438555068;
24227;1227;L_vt22_Muhos;Tie 22 Muhos;64.8545275068;25.8871160772;
24104;1104;L_vt27_Alavieska;Tie 27 Alavieska;64.1248253862;24.3519363943;
24105;1105;L_vt27_Haapajärvi;Tie 27 Haapajärvi;63.7443334392;25.6057313333;
24103;1103;L_vt28_Sievi;Tie 28 Sievi;63.873002837;24.7353637745;
24225;1225;L_kt78_Pudasjärvi;Tie 78 Pudasjärvi;65.6686017135;26.6873056347;
24123;1123;L_kt86_Oulainen;Tie 86 Oulainen;64.2428546325;24.8300739728;
24205;1205;L_kt86_Liminka;Tie 86 Liminka;64.7102361017;25.3805412883;
24233;1233;L_kt88_Alpua;Tie 88 Vihanti, Alpua;64.4538831262;25.1498780978;
24239;1239;L_st815_Lentokentäntie;Tie 815 Oulunsalo;64.9504918956;25.4914613326;
24248;1248;L_st815_Oulunsalo;Tie 815 Oulunsalo;64.9359406192;25.4133522117;
24249;1249;L_st815_Lunki;Tie 815 Lunki;64.933739941;25.398078795;
24253;1253;L_st816_Hailuoto;Tie 816 Hailuoto;65.0411800357;25.0544934618;
24222;1222;L_st847_Tupos;Tie 4 Liminka, Tupos;64.8306870797;25.4907093281;
24247;1247;L_st847_Oulunlahti;Tie 847 Oulunlahti;64.9722461127;25.4958296892;
24228;1228;L_st847_Haukipudas;Tie 847 Haukipudas;65.1187962194;25.3731141222;
24252;1252;L_st866_Kuusamo_T;Tie 866 Kuusamo;65.772940334;30.0828781862;
24321;1321;L_vt5_Hatulanmäki;Tie 5 Hatulanmäki;63.9929255524;27.4089176204;
24322;1322;L_vt5_Nuottijärvi;Tie 5 Nuottijärvi;64.1593736602;27.5247880728;
24301;1301;L_vt5_Rytivaara;Tie 5 Rytivaara;64.3177940837;28.0413359655;
24302;1302;L_vt5_Ristijärvi;Tie 5 Ristijärvi;64.4866508349;28.1767966486;
24328;1328;L_vt5_Tapiola;Tie 5 Tapiola;65.3654914444;29.047762298;
24323;1323;L_vt6_Korholanmäki;Tie 6 Sotkamo, Korholanmäk;64.1381854071;27.9949052267;
24324;1324;L_vt22_Törmäkylä;Tie 22 Törmäkylä;64.6053068194;26.650750171;
24329;1329;L_vt22_Mieslahti;Tie 22 Paltamo, Mieslahti;64.3914978721;27.9534005815;
24326;1326;L_vt28_Vuottolahti;Tie 28 Vuottolahti;64.1150897871;27.2655264392;
24303;1303;L_kt75_Kankivaara;Tie 75 Kankivaara;63.9937963564;29.6304966968;
24327;1327;L_kt78_Aska;Tie 78 Arska;65.0485679331;27.7002084441;
24325;1325;L_kt89_Vartius;Tie 89 Vartius;64.4934276949;29.9014952054;
24452;1452;L_vt4_Marostenmäki;Tie 4 Kemi, Marostenmäki;65.6922448715;24.6857277158;
24453;1453;L_vt4_Siikalahti;Tie 4 Kemi, Siikalahti;65.7112258466;24.6263935371;
24454;1454;L_vt4_Peurasaari;Tie 4 Kemi, Peurasaari;65.7275972776;24.5935448324;
24455;1455;L_vt4_Karjalahti;Tie 4 Kemi, Karjalahti;65.7393933968;24.5872958632;
24456;1456;L_vt4_Kivikko;Tie 4 Kemi, Kivikko;65.7525713899;24.5736624941;
24457;1457;L_vt4_Ristikangas;Tie 4 Kemi, Ristikangas;65.7630817663;24.5718443445;
24437;1437;L_vt4_mp3_Jokisuu;Tie 4 Jokisuu;65.7910951759;24.5245299547;
24438;1438;L_vt4_mp2_Jokisuu;Tie 4 Jokisuu;65.7947718664;24.5215085011;
24401;1401;L_vt4_Tervola;Tie 4 Tervola;66.0808535994;24.7607211027;
24451;1451;L_vt4_Ala-Korkalo;Tie 4 Rovaniemi, Ala-Korkalo;66.4526977808;25.5551866436;
24450;1450;L_vt4_Revontuli;Tie 4 Rovaniemi;66.504078014;25.7257241693;
24424;1424;L_vt4_Olkkajärvi;Tie 4 Rovaniemi, Olkkajärv;66.5999204751;26.0722428206;
24448;1448;L_vt4_Torvinen;Tie 4 Torvinen;67.1584375669;26.6384438334;
24449;1449;L_vt4_Yläpostojoki;Tie 4 Yläpostojoki;67.7069135084;26.7542102871;
24402;1402;L_vt4_Ivalo;Tie 4 Ivalo;68.5168668855;27.5025914665;
24444;1444;L_vt4_Utsjoki;Tie 4 Utsjoki;69.9068898541;27.0259249051;
24426;1426;L_vt5_Suomu;Tie 5 Suomu;66.5507963195;28.1092549252;
24403;1403;L_vt5_Kemijärvi;Tie 5 Kemijärvi;66.8619887243;27.4487884484;
24458;1458;L_v21_Tornio;Tie 21 Tornio;65.8716728522;24.166580127;
24459;1459;L_v21_Ylitornio;Tie 21 Ylitornio;66.3651696309;23.6956265428;
24421;1421;L_vt21_Kolari;Tie 21 Kolari;67.2279968229;23.8925109516;
24447;1447;L_vt21_Kilpisjärvi_T;Tie 21 Enontekiö, Kilpisjä;69.0422399335;20.7695196961;
24439;1439;L_vt29_Luukkaankangas;Tie 29 Kemi, Luukkaankanga;65.8272331049;24.3949135125;
24440;1440;L_vt29_mp1c_Tornio;Tie 29 Tornio 1;65.8409822216;24.2076336243;
24441;1441;L_vt29_mp1a_Tornio;Tie 29 Tornio 2;65.8411296707;24.2043962293;
24431;1431;L_vt29_Tornio;Tie 9211 Tornio;65.8410218674;24.1435734169;
24425;1425;L_kt78_Saukkokangas;Tie 78 Ranua, Saukkokangas;66.1578013159;26.2476456409;
24422;1422;L_kt79_Jääskö;Tie 79 Jääskö;66.9913889592;25.2476608117;
24423;1423;L_kt81_Peräposio;Tie 81 Posio, Peräposio;66.1869174156;27.7500455274;
24405;1405;L_kt82_Misi;Tie 82 Rovaniemi, Misi;66.6749237392;26.6328058579;
24430;1430;L_kt82_Salla_Kelloselkä;Tie 82 Salla, Kelloselkä;66.9439317595;29.0335969137;
24427;1427;L_kt83_Raanujärvi;Tie 83 Ylitornio, Raanujär;66.6440108578;24.8504262386;
24429;1429;L_kt91_Rajajooseppi;Tie 91 Inari, Rajajooseppi;68.4761834457;28.4727563145;
24445;1445;L_kt92_Karigasniemi;Tie 92 Karigasniemi;69.3992154425;25.8307914212;
24446;1446;L_kt93_Kivilompolo;Tie 93 Enontekiö, Kivilomp;68.6604589627;23.3214488352;
24432;1432;L_kt98_Aavasaksa;Tie 98 Aavasaksa;66.3814802001;23.6808681534;
24404;1404;L_st921_Kaakamo;Tie 921 Tornio;65.807096015;24.4536046871;
24433;1433;L_st937_Pello;Tie 937 Pello;66.8025282849;23.9900475197;
24434;1434;L_st943_Kolari;Tie 943 Kolari;67.3138250942;23.7487992733;
24435;1435;L_st954_Muonio;Tie 954 Muonio;67.9406615928;23.6599667395;
24436;1436;L_st959_Karesuvanto;Tie 959 Enontekiö, Karesuv;68.4468325238;22.4850266981;
24443;1443;L_st970_Nuorgam;Tie 970 Utsjoki, Nuorgam;70.0862232059;27.9682960743;
24442;1442;L_st971_Näätämö;Tie 971 Inari, Näätämö;69.6713340042;29.1201840151;
24499;1499;L_vt29_mp1b_Tornio;Tie 971 Tornio 3;69.6696607612;29.1257453135;
