NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;lat;lon;
23126;126;L_st101_Konala;Tie 101 Konala;60.2285276331;24.8438564678;
23145;145;L_st101_Kannelmäki;Tie 101 Kannelmäki;60.234152009;24.8773719871;
23146;146;L_st101_Länsi-Pakila;Tie 101 Länsi-Pakila;60.2374823845;24.9038010422;
23147;147;L_st101_Pakila;Tie 101 Pakila;60.2428982019;24.9410701857;
23148;148;L_st101_Pukinmäki;Tie 101 Pukinmäki;60.2446811497;24.9758107956;
23149;149;L_st101_Malmi;Tie 101 Malmi;60.2425213434;25.01657514;
23162;162;L_st102_Olarinluoma;Tie 102 Olarinluoma;60.176192925;24.7511837719;
23163;163;L_st102_Kokinkylä;Tie 102 Kokinkylä;60.192356084;24.7461089332;
23195;195;L_st103_Satamatie;Tie 103, Satamatie;60.2409360544;25.1538198281;
23105;105;L_st110_Hiidenvesi;Tie 110 Hiidenvesi;60.37051543;24.1354923899;
23151;151;L_st120_Pitäjänmäki;Tie 120 Pitäjänmäki;60.2232278219;24.8772479072;
23123;123;L_st120_Pähkinärinne;Tie 120 Pähkinärinne;60.2515131318;24.8289896031;
23138;138;L_st120_Odilampi;Tie 120 Odilampi;60.3033022885;24.7442255227;
23136;136;L_st140_Arola;Tie 140 Arola;60.545258147;25.1916806485;
23155;155;L_st170_Kulosaari;Tie 170 Kulosaari;60.1912810825;24.9951003668;
23135;135;L_st170_Ilola;Tie 170 Ilola;60.4476992326;25.7450219044;
23158;158;L_st170_Hagaböle;Tie 170 Hagaböle;60.4861359627;25.992136884;
23121;121;L_yt11888_Liljendal2;Tie 11888 Liljendal;60.550818264;26.0242040973;
23196;196;L_Niinisaarentie;Helsinki, Niinisaarentie;60.2204994312;25.1593381034;
23199;199;L_Olari;Merituulentie, Espoo;60.1707964286;24.7709691729;
24604;1604;L_vt1_Lahnajärvi;Tie 1 Lahnajärvi;60.3761012141;23.7258030941;
24603;1603;L_vt1_Syvälampi;Tie 1 Syvälampi;60.3778731637;23.6316022152;
24602;1602;L_vt1_Kruusila;Tie 1 Salo, Kruusila;60.380353192;23.4779288851;
24601;1601;L_vt1_Lakiamäki;Tie 1 Lakiamäki;60.3720268087;23.3774408174;
23248;248;L_vt1_Muurla;Tie 1 Muurla;60.384738465;23.3047015917;
23247;247;L_vt1_Isokylä_läntinen;Tie 1 Isokylä;60.4151180259;23.1499870355;
23246;246;L_vt1_Halikko;Tie 1 Halikko;60.4172835887;23.1174817192;
23245;245;L_vt1_Hajala;Tie 1 Hajala;60.4287212513;22.9688629947;
23244;244;L_vt1_Vista;Tie 1 Vista;60.4313603854;22.7088739557;
23243;243;L_vt1_Paimionmäki;Tie 1 Paimionmäki;60.4257791907;22.6853290322;
23242;242;L_vt1_Paimionjoki;Tie 1 Paimionjoki;60.4292453543;22.6567277152;
23227;227;L_vt1_Kirismäki;Tie 1 Piikkiö, Kirismäki;60.442965996;22.5106795864;
23240;240;L_vt1_Piikkiö;Tie 1 Piikkiö;60.4390214356;22.4746820875;
23239;239;L_vt1_Kaarina;Tie 1 Kaarina;60.4255142911;22.4025956583;
23238;238;L_vt1_Kurkela_itäinen;Tie 1 Kurkela I;60.4216849497;22.3617362749;
23237;237;L_vt1_Kurkela_läntinen;Tie 1 Kurkela L;60.4238094185;22.3350548146;
23236;236;L_vt1_Huhkola;Tie 1 Huhkola;60.4258426907;22.328668186;
23235;235;L_vt1_Kupittaa;Tie 1 Kupittaa;60.4452541755;22.3065063404;
23249;249;L_vt8_Ihala;Tie 8 Ihala;60.4762563921;22.186360073;
23205;205;L_vt8_Raisio;Tie 8 Raisio;60.4949782975;22.1655998145;
23250;250;L_vt8_Masku;Tie 8 Masku;60.58316348;22.0896824081;
23206;206;L_vt8_Pyhäranta;Tie 8 Pyhäranta;60.9851685874;21.5817596858;
23208;208;L_vt9_Aura;Tie 9 Aura;60.5933594082;22.4685673205;
23253;253;L_vt10_Satiaismäki;Tie 10 Lieto, Satiaismäki;60.4761343355;22.3682179012;
23230;230;L_vt10_Lieto;Tie 10 Lieto;60.4962761113;22.4276924461;
23209;209;L_vt10_Marttila;Tie 10 Marttila;60.6164090731;22.9230421332;
23231;231;L_kt40_Vanto;Tie 40 Raisio, Vanto;60.4689934519;22.0856055769;
23251;251;L_kt40_Krookila;Tie 40 Raisio, Krookila;60.4706413155;22.1442109332;
23233;233;L_kt40_Hauninen;Tie 40 Raisio, Hauninen;60.4923662181;22.2205594787;
23234;234;L_kt40_Oriketo;Tie 40 Turku, Oriketo;60.4861998048;22.3150514564;
23229;229;L_kt40_Tuulissuo;Tie 40 Tuulisuo;60.460972464;22.4215400472;
23201;201;L_st110_Muurla1;Tie 110 Muurla;60.3673661571;23.3562169701;
23228;228;L_st110_Kevola;Tie 110 Kevola;60.4103281241;22.7898559991;
23254;254;L_st180_Kuusisto;Tie 180 Kuusisto;60.3674409252;22.3585843204;
23225;225;L_st180_Parainen;Tie 180 Parainen;60.2424766869;22.1819321226;
23255;255;L_st180_Simonby;Tie 180 Simonby;60.1937310398;22.0433468706;
23252;252;L_st185_Artukainen;Tie 185 Turku, Artukainen;60.4607960266;22.183681359;
23257;257;L_yt1851_Turku_Härkämäki;Tie 42505 Turku, Suikkilantie;60.4627406192;22.2011531384;
23221;221;L_vt2_Nakkila;Tie 2 Nakkila;61.3615431444;21.9864595649;
23232;232;L_vt2_Porin_lentokent;Tie 2 Pori, lentokenttä;61.4535382791;21.8166844735;
23223;223;L_vt8_Eurajoki;Tie 8 Eurajoki;61.1697120193;21.6264515137;
23207;207;L_vt8_Pori;Tie 8 Pori;61.5449956005;21.8084006935;
23224;224;L_vt11_Kullaa;Tie 11 Kullaa;61.4698546073;22.4037268591;
23211;211;L_vt12_Lappi_tl;Tie 12 Lappi tl;61.1072429054;21.7283844639;
23226;226;L_vt23_Kankaanpää;Tie 23 Kankaanpää;61.7904002677;22.2424718364;
23403;403;L_vt2_Humppila;Tie 2 Humppila;60.966470548;23.2869427818;
23429;429;L_vt3_Riihimäki_Herajoki;Tie 3 Riihimäki;60.7127971602;24.7340125117;
23432;432;L_vt3_Janakkala;Tie 3 Janakkala;60.8560388696;24.593886617;
23465;465;L_vt3_Hämeenlinna_E;Tie 3 Hämeenlinna, etelä;60.9896259926;24.4594819966;
23466;466;L_vt3_Hämeenlinna_P;Tie 3 Hämeenlinna, pohjoinen;61.0001973509;24.4513301186;
23437;437;L_vt3_Hlinna_Mo3;Tie 3 Hämeenlinna;61.0135032693;24.414192964;
23425;425;L_vt10_Tammela;Tie 10 Tammela;60.8285517343;23.7865502423;
23405;405;L_vt10_Hämeenlinna;Tie 10 Hämeenlinna;61.0462773254;24.6663173532;
23426;426;L_vt12_Hauho;Tie 12 Hauho;61.1583778318;24.6851061152;
23428;428;L_kt54_Loppi;Tie 54 Loppi;60.733455447;24.3953136441;
